region,date,mean,median,lower_90,upper_90,lower_50,upper_50
Hungary,2020-05-15,0.9134315193917852,0.9239645456607717,0.41879198941036855,1.2997018936842617,0.7852174407058914,1.0697478378099674
Hungary,2020-05-16,0.9064958558134888,0.9275402490945059,0.509380581317121,1.3663300942115297,0.8232473458100552,1.0966803202179394
Hungary,2020-05-17,0.8608529849904532,0.8908565668075203,0.40195005123049765,1.322462682431353,0.7989057519166018,1.0835982075234734
Hungary,2020-05-18,0.8536295565856858,0.8882085445177342,0.3714425394756341,1.268727950898623,0.7775316749191639,1.0622735292444656
Hungary,2020-05-19,0.8639794864990036,0.889754500765104,0.43025649421153545,1.3237542245845069,0.7912624370374383,1.0802776364306075
Hungary,2020-05-20,0.874764707409923,0.8897309538163112,0.47158825136481475,1.3851665988741817,0.7590418371498378,1.0664387985496617
Hungary,2020-05-21,0.8431723018920384,0.869005551218597,0.3354830561819637,1.227444089726867,0.7698949971419651,1.067371992981897
Hungary,2020-05-22,0.8139891047679724,0.8599369477669758,0.3387688449163637,1.265140248110819,0.7727260756902629,1.078469552318214
Hungary,2020-05-23,0.7961876795568503,0.8420873789336448,0.3345900547745778,1.2412809164312355,0.7190727518891847,1.0179587110582746
Hungary,2020-05-24,0.7925455798447923,0.833951716068241,0.3591708803575493,1.309325020285789,0.6968004002554835,1.002750909820238
Hungary,2020-05-25,0.7867829603459876,0.8267546131174509,0.2905768440240024,1.2864650085782454,0.6933801191020843,1.0293518500576397
Hungary,2020-05-26,0.8013804625402772,0.8415444631980666,0.3328548044025891,1.2723498544123717,0.6489170869850687,0.9886974047710767
Hungary,2020-05-27,0.8169866662268274,0.851726244364227,0.34242237889722726,1.3118592991853406,0.6913738231700955,1.031393834985262
Hungary,2020-05-28,0.8154587417274068,0.8489766852746403,0.32726303302840254,1.2837813756437657,0.7206282976547371,1.0471559785765956
Hungary,2020-05-29,0.8052394771135695,0.8369572731341124,0.2550270921143175,1.3257932897854214,0.7095064576389124,1.0544132682561347
Hungary,2020-05-30,0.7937937904983556,0.8271177011739665,0.22249469252946674,1.3160844477505553,0.6615777122903685,1.0228557460574585
Hungary,2020-05-31,0.7788574683749708,0.8194034192689251,0.1653972420628742,1.2361189663465109,0.698014675746662,1.0446782122254343
Hungary,2020-06-01,0.7847115380797864,0.8280792477530718,0.2395060753318119,1.3088352059862598,0.6864221790296835,1.0322109814512563
Hungary,2020-06-02,0.7876150991469771,0.8407788267622851,0.26632427947190374,1.3632698083830648,0.6620565129452123,1.002230151350002
Hungary,2020-06-03,0.7706238050829735,0.8164530597060926,0.24734364829794575,1.3039617745686392,0.6562265758724688,1.0198040470446306
